VERSION_INDEX,NAME,LOC,LOC_TOUCHED,LOC_ADDED,MAX_LOC_ADDED,AVERAGE_LOC_ADDED,NUMBER_OF_REVISIONS,NUMBER_OF_FIX,NUMBER_OF_AUTHORS,CHURN,MAX_CHURN,AVERAGE_CHURN,MAX_CHANGE_SET_SIZE,AVERAGE_CHANGE_SET_SIZE,AGE_IN_WEEKS,WEIGHTED_AGE_IN_WEEKS,IS_BUGGY
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,218,184,81,30,6,1,4,150,81,25,281,106,62.0,0.28440366972477066,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java,31,65,48,27,9,5,0,2,31,27,6,281,67,18.142857142857142,0.27912087912087913,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,210,195,168,39,5,0,2,180,168,36,281,114,62.0,0.29523809523809524,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,208,202,195,101,2,1,1,196,195,98,19,13,12.285714285714286,0.05906593406593407,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,473,1515,994,487,45,22,2,4,473,487,21,281,38,62.0,0.04092409240924092,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ExitCode.java,40,82,61,46,30,2,0,1,40,46,20,35,20,12.857142857142858,0.15679442508710803,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,255,417,336,124,33,10,2,3,255,124,25,281,70,62.0,0.1486810551558753,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileSystemUpgrade.java,379,421,400,227,100,4,1,3,379,211,94,25,12,14.714285714285714,0.03495079742110621,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/GarbageCollectorThread.java,509,581,545,378,77,7,0,3,509,378,72,25,8,13.0,0.022375215146299483,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactory.java,32,108,70,46,23,3,0,1,32,46,10,35,15,11.285714285714286,0.1044973544973545,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,82,74,69,37,2,0,1,66,69,33,9,7,11.285714285714286,0.13763066202090593,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,237,212,183,53,4,0,2,187,183,46,15,8,7.285714285714286,0.03074141048824593,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,602,589,550,196,3,0,2,576,550,192,25,12,7.285714285714286,0.01210251542477456,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/JournalChannel.java,158,164,161,157,53,3,1,1,158,157,52,11,7,17.142857142857142,0.10452961672473868,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,1452,749,536,46,16,2,4,46,536,2,281,51,62.0,0.04269972451790634,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheBean.java,27,133,80,79,40,2,0,1,27,79,13,13,10,18.142857142857142,0.1364124597207304,false
